date,1a. open (EUR),1b. open (USD),2a. high (EUR),2b. high (USD),3a. low (EUR),3b. low (USD),4a. close (EUR),4b. close (USD),5. volume,6. market cap (USD)
2017-08-01,275.0,324.6688083,291.8497,344.56179746,275.0,324.6688083,291.8497,344.56179746,31248.97429173,10767202.75077019
2017-08-02,291.8491,344.56108909,689.0,814.72415852,259.8,307.96695579,419.9999,497.65438842,110762.11105396,55121250.63711875
2017-08-03,419.9999,497.65438842,484.9985,574.22231115,325.0,385.65002201,341.99,406.33955772,40559.87554079,16481081.88836358
2017-08-04,340.94,405.09198751,344.5,409.37972733,229.98767016,270.07145827,250.00949248,294.36118686,37896.02813423,11155119.8188894
2017-08-05,244.02300502,287.31269628,270.06329622,317.97253623,202.797055,238.77326101,206.96010932,243.67484135,17403.84289884,4240878.65717367
2017-08-06,220.06758936,259.10758889,238.22791785,280.43309929,201.69655922,237.42973423,235.04440415,276.9352991,13837.88102687,3832197.72109278
2017-08-07,234.78651605,276.63144878,370.84105354,437.40850415,234.78651605,276.63144878,273.06752179,322.13590749,60961.20830556,19637794.15949019
2017-08-08,272.07939847,320.9702251,364.94298489,430.74689594,264.04378123,311.86076926,296.28607957,348.53618461,28397.51790177,9897562.54183211
2017-08-09,296.32572306,348.58281924,319.08028331,374.60938108,250.20606617,294.29879445,258.99823651,304.57302042,20368.14894871,6203588.64568002
2017-08-10,257.37193805,302.66054935,274.98096317,322.59804805,232.88899598,274.16445462,236.37816869,278.11912067,16273.15405938,4525875.29757509
2017-08-11,236.07979797,277.76806202,303.95635582,357.68239811,235.28174947,276.93824666,280.09574692,331.15720798,28263.33463334,9359606.98539617
2017-08-12,278.09940966,328.79693838,290.00320007,342.87079006,263.59196732,311.56338111,268.78075036,317.69647691,10598.64549965,3367152.33523236
2017-08-13,270.0401069,319.18502524,270.34060784,319.52888428,254.0419861,300.3552664,254.0419861,300.3552664,8345.32613737,2506562.65516384
2017-08-14,252.56633386,298.61059448,279.99999979,331.14684003,250.05429539,294.68456788,254.8159543,300.14294095,13387.1052953,4018045.15418665
2017-08-15,257.51424343,303.32120519,260.02743318,306.24429024,250.00548719,292.98436176,253.81791532,298.0307818,8359.36950367,2491349.42855633
2017-08-16,252.83090362,296.87184128,264.36436286,309.44056496,245.27767563,288.00595042,254.89920122,300.06215652,6925.03140562,2077939.8575369
2017-08-17,255.80629043,301.12996349,374.65219613,439.15069835,252.13707877,297.00048739,374.65219613,439.15069835,35069.00021117,15400575.93306095
2017-08-18,374.07047497,438.46883059,680.23143593,800.29204948,366.8693645,429.81187512,605.35077217,711.92276194,63546.76142447,45240385.90554956
2017-08-19,603.36267419,709.58465936,799.84530168,940.65804898,515.56018567,606.32454472,630.12685538,741.05544493,40859.53015675,30279177.29977788
2017-08-20,613.26017613,721.21952715,708.19990055,832.95096686,581.22310072,683.60690721,615.19683993,723.13058842,23932.76785367,17306516.50062431
2017-08-21,615.19843945,723.13246858,640.21369015,752.8382998,462.35276791,544.73269309,509.29996818,601.56571061,25782.1237992,15509641.62422604
2017-08-22,508.30650468,600.39226939,625.6531857,736.73429974,488.42454593,577.0420472,589.02024152,692.82153521,22922.28616344,15881053.49022856
2017-08-23,581.19749044,683.62020386,598.93698638,703.84344402,559.27432196,657.91096556,582.00198189,687.67817467,8157.5610069,5609776.66298244
2017-08-24,581.00524381,686.50045527,593.97977433,701.44322897,516.27166001,609.26283765,529.50601945,624.6834082,11323.84122126,7073815.72804878
