date,1a. open (EUR),1b. open (USD),2a. high (EUR),2b. high (USD),3a. low (EUR),3b. low (USD),4a. close (EUR),4b. close (USD),5. volume,6. market cap (USD)
2014-04-01,337.24368327,464.98412099,364.98051975,503.40127051,337.24368327,464.98412099,358.78143188,494.89346671,3611.19706722,1787157.83556112
2014-04-02,362.45757366,499.9642379,378.60730685,522.79746042,322.54905855,444.01946306,325.17983777,447.64098092,4198.64707304,1879486.49432025
2014-04-03,324.45035209,446.63677448,335.26003184,459.90859971,313.00047572,430.82392641,328.92592956,451.19536023,3294.35738901,1486398.76886005
2014-04-04,329.00459091,451.30326183,346.56191782,475.10942403,320.31248156,439.20296826,337.12013252,461.96787455,2079.03735435,960448.46769978
2014-04-05,337.57503741,462.59124713,348.37856951,477.39506256,327.87261694,449.2950548,341.0859871,467.4017876,1227.17828134,573585.32240637
2014-04-06,341.64207819,468.16381823,343.6861401,470.96486614,331.57764865,454.3721864,336.02874131,460.32217236,1016.00084599,467687.71654885
2014-04-07,339.71621173,465.37359858,360.35437156,494.53441671,329.24240775,452.50659753,331.72413104,455.89922713,1745.34741594,795702.53800675
2014-04-08,331.02158,454.93368846,455.48907448,626.10956628,330.26169573,454.32036788,352.82938103,486.72365011,1357.72562362,660837.17137812
2014-04-09,334.10587723,460.89481441,351.53633333,484.87502598,324.82904789,449.08740567,324.82904789,450.05008284,2141.64030829,963845.39815038
2014-04-10,324.73700459,449.92255701,326.23221828,452.00127916,265.41396301,368.54553396,267.2000128,371.02558687,6218.80319154,2307335.10378528
2014-04-11,265.55015781,368.73464981,327.40279413,454.79937619,255.86526586,355.29539187,310.61072181,431.28338035,5393.75072606,2326235.0459165
2014-04-12,310.38424114,430.96891166,327.42614723,454.62846357,305.96304213,424.82712187,310.81704869,431.56686932,1289.2627253,556403.07808899
2014-04-13,310.14282298,430.63071257,313.90984548,435.86119177,293.97148484,408.17694499,304.97049242,422.29386247,1610.86247031,680257.33449634
2014-04-14,305.19662225,422.60698535,355.35547432,491.35455288,299.5823874,414.87659243,332.05365171,458.84868553,4489.99289214,2060227.33660825
2014-04-15,332.80473343,459.88656858,387.03168559,534.65981509,329.12641431,454.7458675,386.78861325,534.32402602,5415.24848789,2893497.37396649
2014-04-16,386.29267091,533.63891302,396.52143695,548.47546856,363.39573052,503.09102888,384.15932175,530.76294786,4716.24198946,2503206.5011665
2014-04-17,384.77437294,531.61271608,384.77437294,531.61271608,355.74341026,492.37842251,364.5066784,503.47130321,2879.1004299,1449544.4455091
2014-04-18,364.49397009,503.45374998,375.91914019,519.20094939,344.47216586,476.03092981,352.92843866,487.52745648,1584.32973775,772404.24727557
2014-04-19,353.24393174,487.96327157,368.41262163,508.92188183,350.14273911,483.66799521,364.21454043,503.12269022,1479.41718401,744328.35357234
2014-04-20,364.08858234,502.94869285,370.97349006,512.45944244,357.59498752,493.97849937,367.31148572,507.44214017,999.26102708,507067.15416641
2014-04-21,367.18082329,507.26162956,371.88912788,513.52496085,358.56528604,494.61988249,363.19700611,501.00354113,1114.40191302,558319.30466933
2014-04-22,363.69562937,501.69135523,376.95544701,520.29378267,355.16281802,490.10553555,368.44953128,508.73322749,1335.36279804,679343.42611547
2014-04-23,368.71266855,509.09655181,375.80148533,520.21956626,339.10279983,468.53776227,357.10261614,493.44284912,1505.78028987,743016.51638455
2014-04-24,357.21321633,493.59567599,376.31340252,520.00260132,349.22885636,483.2473648,368.71467788,509.97316473,2065.61202959,1053406.70383264
2014-04-25,368.60027932,509.81493887,368.9628133,510.3678938,324.87815374,449.69631171,335.45601641,464.07609966,3312.70574661,1537347.56220858
2014-04-26,335.44149627,464.05601222,348.58406852,482.67706726,329.7900444,456.2339015,335.97675193,464.79263686,1274.42229165,592342.0974058
2014-04-27,336.01027366,464.83901106,340.14824659,470.56351234,319.73360876,442.54705462,320.38179754,443.38469204,1207.96907311,535594.9954761
2014-04-28,317.97546458,440.05450535,334.83336679,463.78960178,309.50278488,427.85820517,321.53802016,445.38916754,2388.48133223,1063803.71223668
2014-04-29,321.47304906,445.29917063,337.92779808,468.5963623,315.76281498,437.7502353,326.72194312,451.19612541,2249.54202545,1014984.64582966
2014-04-30,326.83625437,451.35398685,337.8861607,468.64455163,318.07060635,438.94693557,332.79993946,461.59001625,2168.58215548,1000995.87239318
2014-05-01,331.72447878,460.09836361,344.33581765,477.97184356,323.68230286,448.96948153,338.80444539,469.89213342,1544.12387149,725571.66024505
2014-05-02,338.80568004,469.89384576,342.61066408,474.94706443,321.54674243,445.71921198,338.64017107,469.75094927,1465.56519613,688450.6420937
2014-05-03,338.67016446,469.79255515,340.29147274,472.04682126,313.45497765,434.82087613,317.55787598,440.51236606,1189.92805973,524178.02503425
2014-05-04,317.5413613,440.48945709,318.50954323,441.83250712,312.32185383,433.24902076,317.88693869,441.06612058,693.03380712,305673.73273587
2014-05-05,318.11369441,441.38074271,320.06587279,443.89660003,308.37348843,428.01057687,312.89209501,434.1376136,1485.52306775,644921.4395816
2014-05-06,312.96097533,434.233185,329.25888482,458.10951593,305.9041489,424.6692843,311.48873351,433.94798776,1696.23101833,736076.0371843
2014-05-07,310.86991021,433.2959468,326.46599203,454.40132065,307.35666914,427.90350507,318.57189274,443.16633523,2614.64999916,1158724.85803467
2014-05-08,318.33687515,442.83940153,324.4563143,451.5487833,316.25178381,439.17705537,319.07934261,441.65859367,1395.44990636,616312.44318286
2014-05-09,319.09635458,441.68214105,360.22663916,495.76202865,317.13602176,439.01064492,325.44980161,447.78330496,1847.29286805,827186.90568286
2014-05-10,325.19675464,447.43514003,339.9946743,467.79417051,325.19675464,447.43514003,337.69241626,464.62652416,800.66019304,372007.96252359
2014-05-11,337.40178599,464.22664981,346.82909902,477.19756498,316.95945269,436.1003141,319.96610475,440.18685813,1184.57918087,521436.18783891
2014-05-12,319.94309966,440.15520935,344.04144525,473.5177792,317.90881051,437.4669663,322.71028263,443.97615322,1568.88989948,696549.7023945
2014-05-13,322.69838794,443.95978882,340.71499283,467.17892676,317.21689707,434.63189493,322.35797035,441.75206907,3535.47536354,1561803.55698281
2014-05-14,322.3537573,441.74629559,333.98472855,458.14405935,320.39801097,439.42508328,323.76530471,444.05184458,2828.47069737,1255987.63050389
2014-05-15,323.74290935,444.0211288,329.95607644,452.16728757,322.845842,442.83025742,328.89727079,451.00385982,3718.73411628,1677163.4400735
