date,1a. open (EUR),1b. open (USD),2a. high (EUR),2b. high (USD),3a. low (EUR),3b. low (USD),4a. close (EUR),4b. close (USD),5. volume,6. market cap (USD)
2014-04-05,0.00035088,0.00048082,0.00036344,0.00049803,0.00033344,0.00045693,0.0003345,0.00045838,6835845.30462256,3133.43117355
2014-04-06,0.0003345,0.00045838,0.00036298,0.0004974,0.0003345,0.00045838,0.00034483,0.00047238,4545143.434985,2147.01492857
2014-04-07,0.00034483,0.00047238,0.00035026,0.00048041,0.00033709,0.00046317,0.00034764,0.00047778,10403719.01102478,4970.67562044
2014-04-08,0.00034764,0.00047778,0.00034764,0.00047838,0.00033709,0.00046421,0.00034258,0.00047258,10031943.29735521,4740.93898023
2014-04-09,0.00034258,0.00047258,0.00034258,0.00047258,0.00032185,0.00044447,0.00033608,0.00046564,9748241.32796272,4539.12668919
2014-04-10,0.00033608,0.00046564,0.00033608,0.00046564,0.0002381,0.00033061,0.0002381,0.00033061,21549315.013254,7124.45365217
2014-04-11,0.0002381,0.00033061,0.00032895,0.00045717,0.0002381,0.00033061,0.00032314,0.00044868,13163970.61928902,5906.41409144
2014-04-12,0.0003367,0.00046751,0.00035006,0.00048605,0.00029851,0.00041448,0.0003,0.00041655,2871642.18590933,1196.17581688
2014-04-13,0.0003276,0.00045487,0.0003276,0.00045487,0.00027624,0.00038251,0.00028571,0.00039563,2343185.447365,927.03379286
2014-04-14,0.00028571,0.00039563,0.0003252,0.00044938,0.00028571,0.00039562,0.0003252,0.00044938,6194672.49395325,2783.77712444
2014-04-15,0.0003252,0.00044938,0.00041667,0.0005756,0.00031751,0.00043869,0.00041667,0.0005756,19242758.059584,11076.10592051
2014-04-16,0.00041667,0.0005756,0.00060606,0.00083831,0.00041135,0.00056816,0.00055897,0.00077229,14440055.06933058,11151.87083109
2014-04-17,0.00055897,0.00077229,0.0005618,0.00077734,0.00045475,0.00062985,0.00047059,0.00065,17032455.4080075,11071.01803372
2014-04-18,0.00047059,0.00065,0.00048544,0.00067061,0.00043497,0.00060085,0.00044493,0.00061461,5389506.14761453,3312.46029608
2014-04-19,0.00044493,0.00061461,0.00047185,0.00065181,0.00043478,0.0006006,0.00046366,0.00064049,816400.57193102,522.90032203
2014-04-20,0.00046366,0.00064049,0.00046501,0.00064236,0.00045455,0.00062786,0.00045455,0.00062796,2832135.95679889,1778.45809136
2014-04-21,0.00045455,0.00062796,0.00046179,0.00063783,0.0004174,0.00057572,0.00044786,0.00061779,2946280.83786465,1820.19204781
2014-04-22,0.00044786,0.00061779,0.00044786,0.00061779,0.00041758,0.00057648,0.00041771,0.00057675,3573234.04326336,2060.86437874
2014-04-23,0.00041771,0.00057675,0.00043478,0.00060165,0.0004,0.00055248,0.00041675,0.00057587,9603660.61284392,5530.44245119
2014-04-24,0.00041675,0.00057587,0.00043849,0.00060624,0.00040825,0.00056376,0.00042335,0.00058555,25518155.10044416,14942.07225461
2014-04-25,0.00042335,0.00058555,0.00042335,0.00058568,0.00034074,0.00047165,0.00037016,0.00051209,15022866.89778663,7693.10153936
2014-04-26,0.00036516,0.00050517,0.00036516,0.00050517,0.00034495,0.0004772,0.00035312,0.00048851,10533677.63997804,5145.83254768
2014-04-27,0.00035312,0.00048851,0.00035398,0.00049015,0.0003223,0.0004461,0.00033317,0.00046108,10571793.38994744,4874.42261911
2014-04-28,0.00033317,0.00046108,0.00038462,0.0005328,0.00032,0.00044232,0.00035088,0.00048603,15078485.77056,7328.58597917
2014-04-29,0.00035088,0.00048603,0.00038454,0.00053345,0.00035088,0.00048603,0.00036364,0.00050217,3630233.0594475,1823.00924826
2014-04-30,0.00036364,0.00050217,0.00038109,0.00052617,0.00035971,0.00049641,0.00036509,0.00050637,3103167.68989974,1571.35850946
2014-05-01,0.00036509,0.00050637,0.00038447,0.00053387,0.00036509,0.00050632,0.00037951,0.00052634,4247843.94641025,2235.82088461
2014-05-02,0.00037951,0.00052634,0.00037951,0.00052634,0.00033898,0.00046928,0.00035611,0.00049398,7433672.65819353,3672.07635938
2014-05-03,0.00035611,0.00049398,0.00036232,0.0005026,0.00033613,0.00046628,0.00033613,0.00046628,5887828.88027425,2745.38606768
2014-05-04,0.00033613,0.00046628,0.00035026,0.0004861,0.0003269,0.00045348,0.00034152,0.00047386,7147895.30928546,3387.07934681
2014-05-05,0.00034152,0.00047386,0.00034483,0.00047824,0.00032741,0.00045425,0.00033003,0.00045792,8603975.1024717,3939.93756723
2014-05-06,0.00033003,0.00045792,0.00037376,0.00052003,0.0003269,0.00045377,0.00034483,0.00048039,10744889.214626,5161.77749845
2014-05-07,0.00033333,0.00046461,0.00034568,0.00048097,0.00033223,0.00046265,0.00033986,0.00047278,10471821.44703406,4950.83716193
2014-05-08,0.0003398,0.0004727,0.00034118,0.00047581,0.00033333,0.0004613,0.00034008,0.00047072,10899866.64078996,5130.83439365
2014-05-09,0.00034008,0.00047072,0.00035448,0.00048773,0.00033841,0.00046554,0.00035417,0.0004873,4671443.39334443,2276.39270307
2014-05-10,0.00035417,0.0004873,0.00035417,0.0004873,0.00033881,0.00046617,0.00034965,0.00048108,2104269.40263008,1012.32006859
2014-05-11,0.00034965,0.00048108,0.00034965,0.00048108,0.0003345,0.00046024,0.00033727,0.00046399,4317634.2485022,2003.33809943
2014-05-12,0.00033727,0.00046399,0.00033898,0.00046678,0.00033456,0.00046022,0.00033456,0.00046028,1833553.67198885,843.94579268
2014-05-13,0.00033456,0.00046028,0.00033529,0.0004604,0.00032279,0.00044229,0.00032808,0.0004496,10121455.00771752,4550.59479653
2014-05-14,0.00032808,0.0004496,0.00033361,0.00045756,0.00032787,0.00044955,0.00033003,0.00045265,11715190.5287532,5302.85923562
2014-05-15,0.00033003,0.00045265,0.00033841,0.00046382,0.000329,0.00045127,0.00033278,0.00045633,7207735.82551775,3289.07951878
2014-05-16,0.00033278,0.00045633,0.00033333,0.00045718,0.00032916,0.00045075,0.00032916,0.00045076,4464283.04349678,2012.33975749
2014-05-17,0.00032916,0.00045076,0.00033383,0.00045716,0.00032916,0.00045076,0.00033378,0.00045708,1151751.54226047,526.44339337
2014-05-18,0.00033378,0.00045708,0.00033383,0.00045716,0.00032933,0.00045098,0.00033178,0.00045447,1033202.72986494,469.55575536
2014-05-19,0.00033178,0.00045447,0.00033389,0.00045763,0.0003125,0.00042867,0.00032755,0.00044902,4687621.24253783,2104.81406566
2014-05-20,0.00032755,0.00044902,0.00034342,0.00047027,0.00032263,0.00044161,0.0003358,0.00046004,6464884.41661991,2974.07676864
2014-05-21,0.0003358,0.00046004,0.00034342,0.00046929,0.00033344,0.00045549,0.00033557,0.00045928,2250911.3154182,1033.79662325
2014-05-22,0.00033557,0.00045928,0.00034188,0.00046739,0.00032051,0.00043756,0.00032808,0.00044803,8812218.66481368,3948.15610453
2014-05-23,0.00032808,0.00044803,0.00032808,0.00044803,0.00029412,0.00040079,0.00029851,0.00040688,15357877.991592,6248.88902272
2014-05-24,0.00029851,0.00040688,0.00032258,0.0004397,0.00029851,0.00040688,0.00032258,0.0004397,4301697.901051,1891.4463515
2014-05-25,0.00032258,0.0004397,0.00032466,0.00044254,0.00025316,0.00034503,0.00030931,0.00042187,7081208.50871632,2987.37886805
2014-05-26,0.00030931,0.00042187,0.00032248,0.00044021,0.00028571,0.00038986,0.0003125,0.0004264,3762000.881152,1604.10606761
2014-05-27,0.0003125,0.0004264,0.0003125,0.00042651,0.0002858,0.00038999,0.00030303,0.00041321,1555077.803565,642.57690096
2014-05-28,0.00030303,0.00041321,0.0003125,0.00042563,0.00028986,0.0003941,0.00029603,0.00040245,3335549.11712604,1342.37983858
2014-05-29,0.00029603,0.00040245,0.00030003,0.00040854,0.00028744,0.00039104,0.00028752,0.00039104,6013270.8912038,2351.4392001
2014-05-30,0.00028752,0.00039104,0.00029762,0.00040514,0.0002551,0.00034779,0.0002551,0.00034779,11213539.47973846,3899.98696068
2014-05-31,0.0002551,0.00034779,0.00028169,0.00038404,0.0002381,0.0003246,0.0002381,0.0003246,5090731.959894,1652.47526298
2014-06-01,0.00025851,0.00035243,0.0003122,0.00042563,0.00025006,0.00034092,0.00029412,0.00040082,3195427.02346211,1280.79343196
2014-06-02,0.00029412,0.00040082,0.00032258,0.00043979,0.00025006,0.00034038,0.00030769,0.00041841,7016260.2546725,2935.66821932
2014-06-03,0.00030769,0.00041841,0.00031736,0.00043185,0.00028019,0.00038113,0.00029612,0.00040353,7583319.47441112,3060.13455747
2014-06-04,0.00029612,0.00040353,0.00029612,0.00040353,0.00025648,0.00034918,0.00027152,0.00036925,7537568.59641673,2783.25239569
2014-06-05,0.00027152,0.00036925,0.00028571,0.00038953,0.00026455,0.00036077,0.00026596,0.00036333,5545415.8757656,2014.80133033
2014-06-06,0.00026596,0.00036333,0.00028169,0.00038437,0.00026596,0.00036314,0.00027027,0.00036872,2523452.85043,930.45383081
2014-06-07,0.00027027,0.00036872,0.00028571,0.0003898,0.00027027,0.00036872,0.00027894,0.00038055,2014751.27371665,766.72175176
2014-06-08,0.00027894,0.00038055,0.00028169,0.00038431,0.00026469,0.00036111,0.00026469,0.00036117,2275579.22659694,821.86314769
2014-06-09,0.00026469,0.00036117,0.00027778,0.00037745,0.00026316,0.00035813,0.00026667,0.00036248,3537388.52445,1282.23219626
2014-06-10,0.00026667,0.00036248,0.00028571,0.00038767,0.00026539,0.00036079,0.00028369,0.00038427,4756164.03070969,1827.66047219
2014-06-11,0.00028369,0.00038427,0.00032248,0.00043642,0.00027972,0.00037832,0.00030708,0.00041558,4859249.28849669,2019.39705142
2014-06-12,0.00030708,0.00041558,0.00032468,0.0004397,0.00026323,0.00035671,0.00030303,0.00041062,12761393.70885624,5240.0825394
2014-06-13,0.00030303,0.00041062,0.00030303,0.00041133,0.00027027,0.00036564,0.00027624,0.00037402,827602.7915978,309.53723091
2014-06-14,0.00027624,0.00037402,0.00030294,0.00041017,0.00026316,0.00035631,0.00026681,0.00036125,4888659.25955508,1766.03420427
2014-06-15,0.00026681,0.00036125,0.00028571,0.00038685,0.00026681,0.00036125,0.00027027,0.00036579,798192.583351,291.97414558
2014-06-16,0.00027027,0.00036579,0.00029412,0.00039839,0.00027027,0.00036579,0.00027027,0.00036683,4739780.631288,1738.71387885
2014-06-17,0.00027027,0.00036683,0.0002809,0.00038091,0.00026323,0.00035645,0.00026323,0.00035659,5580559.38356023,1989.98772992
2014-06-18,0.00026323,0.00035659,0.00027473,0.00037297,0.00026316,0.00035651,0.00027027,0.00036708,5643939.31630659,2071.78726215
2014-06-19,0.00027027,0.00036708,0.00027397,0.00037316,0.00026144,0.00035575,0.00026144,0.00035575,3350191.755573,1191.83270123
2014-06-20,0.00026144,0.00035575,0.00027315,0.00037147,0.00025575,0.00034773,0.00027315,0.00037145,4053239.22330349,1505.57292416
2014-06-21,0.00027315,0.00037145,0.00027315,0.00037146,0.00025316,0.00034428,0.00025316,0.00034428,2136457.9325815,735.54468133
2014-06-22,0.00025316,0.00034428,0.00026192,0.00035619,0.0002435,0.00033099,0.0002435,0.00033103,3053953.44490026,1010.95790084
2014-06-23,0.0002435,0.00033103,0.00026844,0.00036515,0.0002381,0.00032361,0.0002439,0.00033177,1705253.957417,565.75610334
2014-06-24,0.0002439,0.00033177,0.00025,0.00034012,0.00022227,0.00030212,0.00025,0.00034012,2639438.11829936,897.73120092
2014-06-25,0.00025,0.00034012,0.00025,0.00034012,0.00019324,0.0002635,0.00020812,0.00028367,9847222.2593694,2793.35097604
2014-06-26,0.00020812,0.00028367,0.00022222,0.0003025,0.0001935,0.0002637,0.00022222,0.0003025,1513513.44725125,457.83330139
2014-06-27,0.00022222,0.0003025,0.00023815,0.00032499,0.00021277,0.00028966,0.00021277,0.0002904,4388002.729353,1274.25710954
2014-06-28,0.00021277,0.0002904,0.00023426,0.00031974,0.00020408,0.00027855,0.00020408,0.00027855,866821.48707,241.44920053
2014-06-29,0.00020408,0.00027855,0.00020847,0.00028454,0.0001935,0.00026403,0.0001935,0.00026405,572629.12445888,151.20084108
2014-06-30,0.0001935,0.00026405,0.00021277,0.00029136,0.00019342,0.00026397,0.00019342,0.00026485,339004.47858372,89.78655267
2014-07-01,0.00019342,0.00026485,0.0002,0.00027377,0.00018868,0.0002581,0.00018868,0.0002581,2943299.224019,759.65675781
2014-07-02,0.00018868,0.0002581,0.00018868,0.00025814,0.00016667,0.00022759,0.00016838,0.00022995,2687324.41223565,617.94502091
2014-07-03,0.00016838,0.00022995,0.0001924,0.00026265,0.00015873,0.00021598,0.00016393,0.00022311,6957266.95626,1552.24747892
2014-07-04,0.00016393,0.00022311,0.0002,0.00027183,0.00016,0.00021767,0.00018312,0.00024895,6232170.76047213,1551.49065095
2014-07-05,0.00018312,0.00024895,0.00018312,0.00024895,0.00016396,0.0002229,0.00016667,0.00022658,794131.78476,179.9332465
2014-07-06,0.00016667,0.00022658,0.00016667,0.00022659,0.00016393,0.00022286,0.00016667,0.00022651,883753.61052,200.18193786
2014-07-07,0.00016667,0.00022651,0.00016807,0.00022855,0.00015625,0.00021258,0.00015625,0.0002126,24361080.57312,5179.23803035
2014-07-08,0.00015625,0.0002126,0.00020004,0.0002723,0.00015625,0.00021237,0.00019802,0.00026955,3665188.04115017,987.94863069
2014-07-09,0.00019802,0.00026955,0.0002103,0.00028693,0.00018448,0.00025116,0.00020367,0.00027782,1801491.0980927,500.49170896
2014-07-10,0.00020367,0.00027782,0.00020367,0.00027784,0.00018182,0.00024716,0.00020302,0.00027625,4708552.63019603,1300.7429739
2014-07-11,0.00020302,0.00027625,0.00024096,0.00032782,0.0002,0.00027193,0.00021124,0.00028744,1930659.72049188,554.94183017
2014-07-12,0.00021124,0.00028744,0.00023256,0.00031646,0.0002,0.00027215,0.00020833,0.00028349,6208621.763328,1760.09599821
2014-07-13,0.00020833,0.00028349,0.00020833,0.00028349,0.0002,0.00027207,0.00020833,0.00028342,6695815.633104,1897.7184446
2014-07-14,0.00020833,0.00028342,0.00020833,0.00028382,0.00018525,0.00025225,0.0002,0.00027242,4542743.73705,1237.53169928
2014-07-15,0.0002,0.00027242,0.00020408,0.00027692,0.00018871,0.00025603,0.00020408,0.0002769,1053482.11843,291.71310506
2014-07-16,0.00020408,0.0002769,0.00020408,0.00027694,0.00017699,0.00023935,0.00017699,0.00023939,7103335.2275915,1700.48878369
2014-07-17,0.00017699,0.00023939,0.00020619,0.00027897,0.00017241,0.00023328,0.00020305,0.0002746,10902815.5820995,2993.94746028
2014-07-18,0.00020305,0.0002746,0.00021739,0.00029407,0.00018587,0.00025134,0.00018868,0.00025518,15560387.747609,3970.73025846
2014-07-19,0.00018868,0.00025518,0.00021277,0.00028776,0.00018182,0.00024591,0.00018182,0.00024709,2326497.02428,574.85249369
2014-07-20,0.00018182,0.00024709,0.00018182,0.00024709,0.00017496,0.00023664,0.00017496,0.00023782,460653.09342856,109.55404778
2014-07-21,0.00017496,0.00023782,0.00018868,0.00025514,0.00017496,0.00023653,0.00017496,0.0002366,6311577.8538064,1493.33696519
2014-07-22,0.00017496,0.0002366,0.00017518,0.00023667,0.0001626,0.00021898,0.00017513,0.00023585,2150754.56340288,507.25124036
2014-07-23,0.00017513,0.00023585,0.00017513,0.00023589,0.00016649,0.0002241,0.00016649,0.0002241,3741218.72777175,838.42094219
2014-07-24,0.00016649,0.0002241,0.00016807,0.00022621,0.0001626,0.00021897,0.00016367,0.00022034,2835392.7679987,624.74789197
