date,1a. open (EUR),1b. open (USD),2a. high (EUR),2b. high (USD),3a. low (EUR),3b. low (USD),4a. close (EUR),4b. close (USD),5. volume,6. market cap (USD)
2015-08-08,2.3,2.52236958,2.59809,2.84927964,0.65,0.71284358,0.65,0.71284358,34229.27417692,24400.11823881
2015-08-09,0.65,0.71284358,0.8,0.87734594,0.52353,0.57414615,0.7,0.7675952,4288.88071947,3292.1242579
2015-08-10,0.7,0.7675952,0.74999,0.8228546,0.585,0.64050697,0.67999,0.74914178,8681.88370329,6503.96180577
2015-08-11,0.67999,0.74914178,1.0077,1.11259428,0.5915,0.64885559,0.95,1.04904101,26452.18105968,27749.42275877
2015-08-12,1.0,1.1042537,1.19011,1.32928033,0.83334,0.92228518,1.14669,1.27937101,40628.08856068,51978.39863755
2015-08-13,1.09315,1.21963601,1.75256,1.95196928,1.05314,1.17240136,1.62276,1.80987784,37314.47195701,67534.63591645
2015-08-14,1.62276,1.80987784,1.97,2.20001608,1.55561,1.73118698,1.7,1.88868323,80570.19074845,152171.56828741
2015-08-15,1.58001,1.75537553,1.62242,1.80249863,1.39767,1.55280276,1.524,1.69317342,40455.93714831,68498.91756226
2015-08-16,1.524,1.69317342,1.524,1.69317342,1.0,1.11099384,1.41569,1.57246299,31764.84802543,49949.0478197
2015-08-17,1.41569,1.57246299,1.44769,1.60659154,1.05,1.16606809,1.075,1.1908283,31129.71721975,37070.14810717
2015-08-18,1.075,1.1908283,1.25946,1.38869164,1.00279,1.10985432,1.18962,1.31176934,30716.37238884,40292.79544771
2015-08-19,1.109,1.22287133,1.21,1.33673647,1.0909,1.20691734,1.16175,1.2915925,10192.74692196,13164.87550637
2015-08-20,1.16175,1.2915925,1.4,1.5732918,1.13,1.25686383,1.32165,1.484618,13187.70524954,19578.70462887
2015-08-21,1.32165,1.484618,1.37953,1.56318788,1.20444,1.36771975,1.23043,1.40137378,14598.4468884,20457.88066164
2015-08-22,1.23043,1.40137378,1.2998,1.48013355,1.15801,1.31867168,1.20138,1.36826916,16980.77041985,23234.26443432
2015-08-23,1.20138,1.36826916,1.27,1.44619912,1.13,1.28677559,1.2185,1.3875888,10206.56818209,14162.5196493
2015-08-24,1.2185,1.3875888,1.2185,1.39700192,1.08,1.25277089,1.08,1.25277089,18783.70229921,23531.67536431
2015-08-25,1.08,1.25277089,1.12999,1.29552581,1.0,1.14649316,1.00748,1.16100691,40058.73183454,46508.46445423
2015-08-26,1.00748,1.16100691,1.06989,1.2142622,0.93383,1.07050698,1.00536,1.13913552,20718.62349289,23601.31992106
2015-08-27,1.00536,1.13913552,1.06762,1.20191609,1.00301,1.13459141,1.02801,1.15597141,36463.68186349,42150.97378679
2015-08-28,1.02801,1.15597141,1.11,1.24167039,1.003,1.12732476,1.05002,1.1742445,8710.78588293,10228.59241273
2015-08-29,1.05002,1.1742445,1.099,1.22889273,1.02012,1.14068977,1.04167,1.16489101,1604.66066728,1869.2547785
2015-08-30,1.04167,1.16489101,1.22981,1.3751634,1.04132,1.16439543,1.19589,1.33827736,24346.40267893,32582.23944802
2015-08-31,1.19589,1.33827736,1.22988,1.38016786,1.09,1.22347775,1.18214,1.32596177,28470.93862371,37751.37615013
2015-09-01,1.18214,1.32596177,1.24547,1.40402199,1.18214,1.32596177,1.20212,1.35867004,16716.98156261,22712.86197092
2015-09-02,1.20212,1.35867004,1.20745,1.36009461,1.14,1.27889001,1.16779,1.31006576,10996.69514431,14406.39380229
2015-09-03,1.16779,1.31006576,1.18,1.32628082,1.0812,1.2013934,1.15599,1.2854274,10129.67842757,13020.96617549
2015-09-04,1.15599,1.2854274,1.16999,1.30450101,1.10006,1.2250657,1.1535,1.28606644,11508.82585732,14801.11473186
2015-09-05,1.1535,1.28606644,1.23,1.37127873,1.14917,1.28116454,1.21206,1.35135647,15243.2616471,20599.0803114
2015-09-06,1.21206,1.35135647,1.23,1.37127873,1.16001,1.29403733,1.175,1.30943001,15275.18477957,20001.78541172
2015-09-07,1.175,1.30943001,1.243,1.38535028,1.11291,1.24293464,1.11876,1.24964117,28082.22545923,35092.70501446
2015-09-08,1.11876,1.24964117,1.15,1.28828262,1.10001,1.22999322,1.10007,1.23273717,13095.51124694,16143.32353641
2015-09-09,1.10007,1.23273717,1.14,1.2732707,1.07,1.19851429,1.07001,1.20007806,12800.17048066,15361.20376351
2015-09-10,1.07001,1.20007806,1.09392,1.22644746,1.007,1.13606621,1.04999,1.18513444,33772.59471254,40025.06495413
2015-09-11,1.04999,1.18513444,1.04999,1.18517323,0.84,0.9524479,0.86213,0.97741514,54182.65235629,52958.94463691
2015-09-12,0.86213,0.97741514,1.00116,1.13508145,0.86213,0.97741514,0.92132,1.0445201,19792.9262482,20674.10933267
2015-09-13,0.92132,1.0445201,0.92132,1.04456155,0.8,0.90701302,0.82501,0.93638664,13810.20400012,12931.69046059
2015-09-14,0.82501,0.93638664,0.84418,0.95803151,0.69,0.7826661,0.78,0.88236692,22387.81971079,19754.2714188
2015-09-15,0.78,0.88236692,0.88108,0.99494667,0.773,0.87354898,0.83649,0.94272895,14670.74956198,13830.54038918
2015-09-16,0.83649,0.94272895,0.9,1.01643462,0.805,0.90804187,0.805,0.90893489,21110.11729672,19187.72206675
2015-09-17,0.805,0.90893489,0.805,0.90993475,0.73601,0.83288823,0.7889,0.90079083,35698.47886043,32156.86249037
2015-09-18,0.7889,0.90079083,0.7889,0.90079083,0.731,0.82626225,0.74,0.83663559,14543.6127997,12167.70413827
2015-09-19,0.74,0.83663559,0.81997,0.92684443,0.7341,0.82978218,0.77549,0.87676019,5777.06542931,5065.10095566
2015-09-20,0.77549,0.87676019,0.8466,0.95587463,0.76217,0.86151081,0.8466,0.95587463,12553.48253705,11999.55550121
2015-09-21,0.8466,0.95587463,0.8975,1.00653152,0.78302,0.87647208,0.79801,0.89267856,7821.02112066,6981.65788299
2015-09-22,0.79801,0.89267856,0.82895,0.92528204,0.77,0.85611012,0.82097,0.9136548,19455.3395903,17775.46434885
2015-09-23,0.82097,0.9136548,0.82747,0.92057001,0.78,0.86885328,0.78806,0.88163695,3253.40599449,2868.32292307
