date,1a. open (EUR),1b. open (USD),2a. high (EUR),2b. high (USD),3a. low (EUR),3b. low (USD),4a. close (EUR),4b. close (USD),5. volume,6. market cap (USD)
2014-04-01,10.07540508,13.87880957,10.12842506,13.96929733,9.82464056,13.55031255,9.85651537,13.59581245,4892.82795705,66521.97126125
2014-04-02,9.85651537,13.59581245,10.19175789,14.06265964,8.32290927,11.45481646,8.44394467,11.6238931,23080.36088608,268283.64775402
2014-04-03,8.44394136,11.62388855,8.52210712,11.73166881,7.9105064,10.87861671,8.33413115,11.43212185,11774.76750311,134610.57682777
2014-04-04,8.33411437,11.43209883,8.55706447,11.73031375,8.1160794,11.12871031,8.31415817,11.39319075,4923.44908547,56093.7945975
2014-04-05,8.31415817,11.39319075,8.48295516,11.62448344,8.14116121,11.1561115,8.23053726,11.27858656,3886.50731654,43834.30918555
2014-04-06,8.23967337,11.29110608,8.69684539,11.91758452,8.19100184,11.22440982,8.64125916,11.83756834,4179.43302218,49474.32402088
2014-04-07,8.64071572,11.83682388,8.7874503,12.065983,8.43455846,11.55369903,8.44497224,11.60619912,3749.22337317,43514.23299932
2014-04-08,8.42373882,11.57701734,8.53189908,11.76466697,8.34321911,11.48472887,8.3890069,11.57252847,3220.11176802,37264.83511024
2014-04-09,8.3892207,11.57282341,8.46083836,11.69778261,8.25294201,11.42732803,8.32390887,11.53276131,1594.46111201,18388.5394282
2014-04-10,8.32390887,11.53276131,8.32390887,11.53276131,6.02980481,8.37403107,6.32843998,8.78747397,31919.9948078,280496.12358266
2014-04-11,6.16287612,8.55757717,8.21830264,11.42187622,6.0173629,8.3557309,8.10715667,11.25679729,12838.0825848,144515.69327069
2014-04-12,8.10725439,11.25693298,8.51914992,11.82876832,7.71518567,10.7124707,7.88112103,10.94287056,5347.46962647,58516.66794863
2014-04-13,7.88112103,10.94287056,7.97983637,11.07993598,7.20870955,10.00923285,7.73094003,10.70506363,5970.25377085,63911.94648004
2014-04-14,7.73042053,10.70434428,8.48079964,11.72650998,7.52259994,10.41768285,8.27501811,11.43484242,8781.6717708,100417.03284707
2014-04-15,8.2750327,11.43486259,9.8072916,13.54815357,8.27502669,11.43321118,9.61147734,13.27764855,20078.83695206,266599.74035037
2014-04-16,9.61147734,13.27764855,10.27801667,14.21085719,8.87140179,12.28171461,9.77537419,13.50587146,19560.35071608,264179.58251798
2014-04-17,9.77537342,13.5058704,10.03795923,13.89100434,9.0506371,12.50884486,9.23100611,12.75023737,11074.80582528,141206.40313697
2014-04-18,9.23100754,12.75023935,9.25779345,12.78882693,8.63207533,11.92911598,8.89185882,12.28301502,4208.11874762,51688.38580304
2014-04-19,8.89185882,12.28301502,9.37266579,12.94731622,8.68448885,11.99667479,9.29698821,12.84277589,3747.10723816,48123.2584972
2014-04-20,9.29698821,12.84277589,9.48468966,13.10206498,9.1744184,12.67345906,9.29850917,12.8459239,2793.95522451,35890.93619606
2014-04-21,9.28050725,12.82105419,9.43774935,13.03549338,8.99785524,12.40869538,9.01477444,12.43521792,4128.69049669,51341.1660386
2014-04-22,9.01478162,12.43522782,9.22211429,12.72963903,8.8061931,12.15744009,8.84298211,12.20986444,2857.5627175,34890.45339634
2014-04-23,8.84298211,12.20986444,8.95350294,12.37112526,8.78108526,12.12848704,8.79489398,12.15274643,2750.44102356,33425.41233524
2014-04-24,8.79558744,12.15370464,9.18605446,12.70532893,8.66847749,11.98669408,9.12639101,12.62280778,3719.36877247,46948.87707364
2014-04-25,9.12639174,12.6228088,9.22738408,12.76378108,7.76990651,10.7551039,8.07978721,11.17772809,14651.62272338,163771.85481685
2014-04-26,8.07978721,11.17772809,8.0800629,11.17810948,7.76713511,10.74511016,7.84024042,10.84624457,2261.1260372,24524.72599409
2014-04-27,7.85385109,10.86507366,8.17257434,11.30599768,7.37867851,10.20771653,7.46959108,10.33736113,4776.01129347,49371.35348622
2014-04-28,7.34537355,10.16545326,7.67501487,10.63404393,7.22339754,9.98891156,7.44881998,10.3179827,6083.97931008,62774.39329762
2014-04-29,7.45011818,10.31978095,7.77410211,10.73538212,7.28117665,10.09408532,7.62513258,10.53014757,4859.94210599,51175.90755972
2014-04-30,7.62513258,10.53014757,8.07599748,11.2008109,7.61436505,10.51333234,7.95523337,11.03382502,6318.10760705,69712.89380418
2014-05-01,7.95523337,11.03382502,8.3243201,11.5468495,7.94633766,11.02133391,8.19566955,11.36667686,5010.91518702,56957.45369407
2014-05-02,8.19566955,11.36667686,8.19566955,11.36667686,7.6634619,10.63051229,7.72321934,10.71340593,3555.06960169,38086.90374968
