date,max temp,min temp,avg temp,rain,max wind,avg wind
13 may 2018,20.6,6.3,13.1,0,3.2,1.6
12 may 2018,14.9,6,9.9,0,3.6,1.5
11 may 2018,15.2,4.3,9,32.1,3.1,1.6
10 may 2018,13.4,8.2,9.6,1.2,4.7,1.3
9 may 2018,23.2,13.2,16.9,0,4.6,1.9
8 may 2018,23.4,8,16.6,0,5.3,1.6
7 may 2018,15.1,7.1,10.8,5.7,7,1.8
6 may 2018,13.9,7.6,9.9,8.9,4.3,1.8
5 may 2018,13.7,7.2,10.5,12.9,6.5,2.4
4 may 2018,7.4,5.2,6.7,3.6,5.1,2.5
3 may 2018,9.6,3.3,5.9,4.5,4.9,2.1
2 may 2018,12.4,4.1,8.5,4.8,5.4,2.4
1 may 2018,11.1,5.6,6.7,0,6,1.8
30 april 2018,12.8,0.2,7.3,0,3.6,1.8
29 april 2018,9.8,-0.1,4.3,2.4,4,2
28 april 2018,7.1,2,3.7,5.4,3.3,1.4
27 april 2018,6.9,2.5,4.5,7.7,4,1.3
26 april 2018,7.7,2.9,5.1,3.2,4.3,1.9
25 april 2018,6.9,2.8,4.6,8.4,3.7,1.9
24 april 2018,7.4,4.6,5.2,12.6,4.9,2.1
23 april 2018,10.8,5.5,6.1,20.4,5.1,2.7
22 april 2018,12.1,1.5,7.2,0,4.6,1.8
21 april 2018,9.1,5.3,6,2.2,4,2.2
20 april 2018,15.5,6.5,8.4,0,5.3,2.3
19 april 2018,19.4,8.4,13.8,0,4.9,2.6
18 april 2018,13,6.6,9.3,13.3,4.7,1.8
17 april 2018,12.6,5.3,8.6,1.1,5.6,1.6
16 april 2018,9.1,3,6.5,0,3.5,1.3
15 april 2018,16.1,4,8.3,0,3.4,1.8
14 april 2018,15.7,4.4,8.2,0.6,6.3,1.7
13 april 2018,15.3,2.6,8.4,0,6.3,3.3
12 april 2018,12.9,0.9,5.3,0,4.7,2.5
11 april 2018,11.8,0.7,5,0,3.4,1.8
10 april 2018,8.9,0.3,3.4,10.4,3.3,1.8
9 april 2018,5.3,1.7,,14.8,3.5,1.5
8 april 2018,5.3,1.5,,1.8,3.3,1.6
7 april 2018,10.1,0.8,5.7,0.4,6.3,2.7
6 april 2018,5,-1.6,1.5,0.3,3.4,1.4
5 april 2018,4.6,-0.7,0.7,16.9,5.4,1.1
